from_location,to_location,approx_date,mode_of_transport,reason,transcript,source_lat,source_lon,target_lat,target_lon
Międzyrzec Podlaski Ghetto,Podlasie Forest (Partisans),1942-1943,Walking,Escaping ghetto to join partisan resistance,51694.txt,,,,
Podlasie Forest,Parczew,December 1943,Walking (captured by Germans),Captured by Germans while fetching water,51694.txt,,,51.639,22.9
Parczew (Police Station),Podlasie Forest (return to partisans),December 1943,Walking (escaped captivity),Escaped German captivity and returned to partisan group,51694.txt,,,,
Podlasie Forest,Makoszka village area,1944,Walking,Relocated by partisan group after injury and husband's death,51694.txt,,,,
Makoszka area,Lublin,Spring 1944,Walking,"Liberation by Russian army, seeking refuge and assistance",51694.txt,,,51.250559,22.5701022
Lublin,Izbica,1945,Train,Returning home after liberation,51694.txt,51.250559,22.5701022,,
Izbica,Łódź,1945,Not specified,Fleeing antisemitic threats after returning home,51694.txt,,,,
Łódź,"Munich, Germany",1945-1946,Truck provided by American authorities,Seeking safety and joining relatives after war,51694.txt,,,48.1371079,11.5753822
"Munich, Germany","Los Angeles, USA",1948,Ship,Immigration sponsored by cousin in Los Angeles,51694.txt,48.1371079,11.5753822,34.0536909,-118.242766
Los Angeles,"Arcadia, California",Late 1940s,Not specified,Moved to start chicken ranch business,51694.txt,34.0536909,-118.242766,34.1362075,-118.0401497
"Poznan, Poland","Oberreichenbach, Germany",May 1940,train and truck,Captured by Nazi Stormtroopers and sent for forced labor on a farm,51743.txt,52.4006632,16.9197326,49.58994,10.7698859
"Oberreichenbach, Germany","Unter-Sorg by Alsfeld, Germany",1940,unknown,Transferred to another farm after being caught escaping from the first farm,51743.txt,49.58994,10.7698859,,
"Unter-Sorg by Alsfeld, Germany","Giessen, Germany",around 1942,train,Arrested by Gestapo for spreading anti-German propaganda,51743.txt,,,50.5808795,8.6938161
"Giessen, Germany","Buchenwald concentration camp, near Weimar, Germany",around 1942,train and truck,Transferred to concentration camp after imprisonment and interrogation,51743.txt,50.5808795,8.6938161,,
Buchenwald concentration camp,"Ellrich Nordhausen concentration camp, Germany",around 1943-1944,train,Transferred to work in tunnels for V1 and V2 rocket production,51743.txt,51.0235423,11.2522682,,
Ellrich Nordhausen concentration camp,"Bergen-Belsen concentration camp, Germany",April 1945,train (death train),Evacuated by Nazis as Allies approached,51743.txt,,,,
Bergen-Belsen concentration camp,"Displaced Persons camp near Dusseldorf, Germany",1945-1946,unknown,Liberated by British forces and moved to DP camp,51743.txt,,,,
"Dusseldorf, Germany",England,1948,unknown,Moved as a displaced person seeking new life opportunities,51743.txt,51.2254018,6.7763137,52.5310214,-1.2649062
England,"New York, United States",1952,ship (Queen Mary),Immigrated to the United States sponsored by Catholic organization,51743.txt,52.5310214,-1.2649062,,
"New York, United States","Hampton, New Hampshire, United States",1952,car,Moved to live and work with the Weber family who offered him employment and housing,51743.txt,,,42.9417199,-70.8378746
"Hampton, New Hampshire","Lawrence, Massachusetts, United States",1950s,unknown,Moved for employment opportunities and eventually married and settled,51743.txt,,,,
"Lawrence, Massachusetts","Dummer, New Hampshire, United States",around 1970s-1980s,unknown,Purchased land and built a home after receiving compensation from the German government,51743.txt,,,44.6107948,-71.2007508
"Zywiec, Poland","Stanislawów, Poland",1939,Horse and wagon,Fleeing German invasion and bombing,51747.txt,49.6890338,19.20305,52.291113,21.5491157
"Stanislawów, Poland",Nearby village (grandmother's home),Before ghetto formation (~1941),Not mentioned,Sent by parents for safety,51747.txt,52.291113,21.5491157,,
Nearby village (grandmother's home),"Stanislawów, Poland",After Yom Kippur massacre (~1941),On foot,"Escaped massacre, returned to parents",51747.txt,,,52.291113,21.5491157
Stanislawów Ghetto,"Warsaw, Poland",Late 1942,Not mentioned,Escaped ghetto with false identity papers,51747.txt,48.922573,24.7061251,,
"Warsaw, Poland","Dresden, Germany",After brother's arrest (~1943),Train,Fled after Gestapo came looking for her; sent by Dr. Fink to a friend in Dresden,51747.txt,,,51.0493286,13.7381437
"Dresden, Germany","Wiesbaden, Germany",Early 1945,Train,Fled Dresden as war was ending to reunite with mother,51747.txt,51.0493286,13.7381437,,
"Wiesbaden, Germany","Bremerhaven, Germany",May 1946,Not mentioned,Travelled to port city to board ship to America,51747.txt,,,53.5505392,8.5851945
"Bremerhaven, Germany","New York City, USA","May 20, 1946",Ship (Marine Flasher),Immigration to America after liberation,51747.txt,53.5505392,8.5851945,40.7127281,-74.0060152
"Paris, France","Angouleme, France",June 1940,train,Fleeing German invasion of Paris,51762.txt,,,45.6484505,0.1561947
"Angouleme, France","Jarnac, France",Summer 1940,unknown,Seeking temporary refuge after fleeing Paris,51762.txt,45.6484505,0.1561947,,
"Jarnac, France","Paris, France",Late Summer/Early Fall 1940,unknown,Encouraged by authorities to return home after initial German occupation,51762.txt,,,,
"Paris, France",Farmhouse near Paris,Summer 1942,car,Hiding from German roundups (Vel' d'Hiv roundup),51762.txt,,,,
Farmhouse near Paris,"Paris, France",Late Summer 1942,car,Returning briefly to Paris to prepare for escape to free zone,51762.txt,,,,
"Paris, France","Vierzon, France",Late Summer 1942,train,Traveling towards the free zone to escape German occupation,51762.txt,,,47.2217489,2.0691421
"Vierzon, France",Free Zone (near Vierzon),Late Summer 1942,walking,Crossing clandestinely into the free zone to escape German occupation,51762.txt,47.2217489,2.0691421,,
Free Zone (near Vierzon),"Sardent, France",Late Summer 1942,unknown,Joining relatives who had established themselves in Sardent,51762.txt,,,46.0513851,1.8559426
"Sardent, France","Villevegoux, France",Late 1942,unknown,Settling in a rented farmhouse to live inconspicuously,51762.txt,46.0513851,1.8559426,46.0219089,1.8645969
"Villevegoux, France","Guéret, France",Late 1942,unknown,Attending school in Guéret,51762.txt,46.0219089,1.8645969,,
"Guéret, France","Sardent, France",1943,bus or similar,Fleeing after being threatened by French militia,51762.txt,,,46.0513851,1.8559426
"Sardent, France","Paris, France",Late 1944,unknown,Returning home after liberation,51762.txt,46.0513851,1.8559426,,
"Paris, France","Cherbourg, France",August 1948,train,Departing France to emigrate to the United States,51762.txt,,,49.5127198,-1.5755441
"Cherbourg, France","New York, USA",August 1948,ship (Queen Mary),Emigrating to join maternal family in the United States,51762.txt,49.5127198,-1.5755441,40.7127281,-74.0060152
"New York, USA","Boston, USA",August 1948,car,Joining relatives who lived in Boston,51762.txt,40.7127281,-74.0060152,42.3554334,-71.060511
"Vienna, Austria","Brussels, Belgium",April 1939,Train,"Fleeing Nazi persecution, traveling with brother Ludwig to meet their aunt Minna who had already emigrated.",52091.txt,48.2083537,16.3725042,50.8465573,4.351697
"Brussels, Belgium","Antwerp, Belgium",April 1939,Not explicitly mentioned,To board the ship to America.,52091.txt,50.8465573,4.351697,51.2211097,4.3997081
"Antwerp, Belgium","Hoboken, New Jersey, USA",April 1939,Ship (SS Gerolstein),Emigration to the United States as Jewish refugees.,52091.txt,51.2211097,4.3997081,40.7433066,-74.0323752
"Hoboken, New Jersey, USA","Brooklyn, New York, USA",April 1939,Not explicitly mentioned,To live with grandparents and uncle after arriving in the United States.,52091.txt,40.7433066,-74.0323752,40.6526006,-73.9497211
"Brooklyn, New York, USA","Cambridge, Massachusetts, USA",1948,Not explicitly mentioned,To attend Harvard University.,52091.txt,40.6526006,-73.9497211,42.3656347,-71.1040018
"Cambridge, Massachusetts, USA","New York City, New York, USA",1952,Not explicitly mentioned,To attend medical school at NYU.,52091.txt,42.3656347,-71.1040018,40.7127281,-74.0060152
"New York City, New York, USA","Bethesda, Maryland, USA",1956,Not explicitly mentioned,To work at the National Institutes of Health (NIH).,52091.txt,40.7127281,-74.0060152,38.9812725,-77.1233587
"Bethesda, Maryland, USA","Paris, France",Around 1962,Not explicitly mentioned,To work with Ladislav Tauc on the snail Aplysia.,52091.txt,38.9812725,-77.1233587,,
"Paris, France","Boston, Massachusetts, USA",Around 1963-1964,Not explicitly mentioned,To complete residency training and continue research at Harvard.,52091.txt,,,42.3554334,-71.060511
"Boston, Massachusetts, USA","New York City, New York, USA",1974,Not explicitly mentioned,To join Columbia University faculty.,52091.txt,42.3554334,-71.060511,40.7127281,-74.0060152
"New York City, New York, USA","Stockholm, Sweden",December 2000,Not explicitly mentioned,To receive the Nobel Prize in Physiology or Medicine.,52091.txt,40.7127281,-74.0060152,,
Korzec,Bogdanówka,Fall 1942 (around Rosh Hashanah/Yom Kippur),Walking,Escaping the ghetto after being warned of an impending Aktion; mother had arranged hiding place with a Ukrainian woman.,52105.txt,50.9627778,15.61,,
Bogdanówka,Tudorów,Fall 1942 (approximately two weeks after arrival in Bogdanówka),Walking,Forced to leave hiding place after the woman informed them of killings in Korzec; sought work and shelter elsewhere.,52105.txt,,,50.5894333,26.7886488
Tudorów,Korzec,Spring 1944 (around Passover),Russian military jeep,Returning to hometown after liberation by Russian forces to search for surviving family members.,52105.txt,50.5894333,26.7886488,50.9627778,15.61
Korzec,Waldenburg,Post-1944 (after approximately one year in Korzec),Not specified,Left Korzec after registering as a survivor; moved to a kibbutz in Waldenburg.,52105.txt,50.9627778,15.61,48.7503918,7.1965445
Waldenburg,Wasseralfingen,Post-1945 (after a few months in Waldenburg),Not specified,Relocated from kibbutz to a displaced persons camp.,52105.txt,48.7503918,7.1965445,48.8653366,10.1047551
Wasseralfingen,"New York (Ellis Island), USA",1949,Ship (General Sturgis),Immigrated to the United States sponsored by husband's uncle.,52105.txt,48.8653366,10.1047551,,
"New York (Ellis Island), USA","Detroit, Michigan, USA",1949,Not specified,Moved to Detroit to live with husband's uncle and start a new life.,52105.txt,,,42.3315509,-83.0466403
"Cracow, Poland","Warsaw, Poland",1930s,Train,Attending private school outside Warsaw,55698.txt,50.0469432,19.9971534,,
"Warsaw, Poland","Cracow, Poland",1930s,Train,Returned home after deciding not to stay at school,55698.txt,,,50.0469432,19.9971534
"Cracow, Poland","Lwow, Poland",September 1939,Bus or hired car,Fleeing Cracow with father to avoid forced labor after German invasion,55698.txt,50.0469432,19.9971534,52.4086237,16.9193912
"Lwow, Poland","Stanislawów, Poland",September 1939,Train,Continuing escape from German forces,55698.txt,52.4086237,16.9193912,52.291113,21.5491157
"Stanislawów, Poland","Bohorodczany, Poland",September 1939,Not specified,Staying with father's sister to avoid German persecution,55698.txt,52.291113,21.5491157,,
"Bohorodczany, Poland","Cracow Ghetto, Poland",1941,Not specified,Mother sent a Polish policeman to bring him back to the ghetto,55698.txt,,,,
"Cracow Ghetto, Poland","Wieliczka, Poland",Late 1942,Not specified,Sent to work cleaning apartments after deportation of Jews from Wieliczka,55698.txt,,,49.9823773,20.0602114
"Wieliczka, Poland","Cracow Ghetto, Poland",Late 1942,Not specified,Returned to ghetto after work assignment ended,55698.txt,49.9823773,20.0602114,,
"Cracow Ghetto, Poland","Plaszow Concentration Camp, Poland","March 13, 1943",Walking,Liquidation of Cracow Ghetto,55698.txt,,,,
"Plaszow Concentration Camp, Poland","Mauthausen Concentration Camp, Austria",August 1944,Train,Transferred from Plaszow to Mauthausen,55698.txt,,,,
"Mauthausen Concentration Camp, Austria","Linz, Austria",Late 1944,Not specified,Transferred to subcamp of Mauthausen for forced labor,55698.txt,,,,
"Linz, Austria","Leonding, Austria",May 1945,Not specified,Assigned housing after liberation,55698.txt,,,48.2793314,14.2487457
"Leonding, Austria","Mauthausen, Austria",1945,Not specified,Searching for sisters after liberation,55698.txt,48.2793314,14.2487457,,
Austria,"Hanover, Germany",1945,Freight train,Searching for wife's sister after liberation,55698.txt,47.59397,14.12456,52.3744779,9.7385532
Austria,"Cracow, Poland",1945,Not specified,Returning to Poland to search for family,55698.txt,47.59397,14.12456,50.0469432,19.9971534
"Cracow, Poland","Zakopane, Poland",1946,Not specified,Seeking medical treatment for tuberculosis,55698.txt,50.0469432,19.9971534,49.2969114,19.9504753
"Zakopane, Poland","Merano, Italy",Late 1946,Not specified,Seeking medical treatment for tuberculosis,55698.txt,49.2969114,19.9504753,46.6695547,11.1594185
"Merano, Italy","Cortina d'Ampezzo, Italy",Late 1946,Not specified,Further medical treatment for tuberculosis,55698.txt,46.6695547,11.1594185,46.5383332,12.1373506
Italy,"Cracow, Poland",July 1947,Not specified,Returning to Poland after medical treatment,55698.txt,42.6384261,12.674297,50.0469432,19.9971534
"Cracow, Poland","Prague, Czechoslovakia",August 1947,Not specified,Traveling with future wife and her father en route to Belgium,55698.txt,50.0469432,19.9971534,,
"Prague, Czechoslovakia","Brussels, Belgium",August 1947,Not specified,Moving to Belgium with future wife and her father,55698.txt,,,50.8465573,4.351697
"Brussels, Belgium",Israel,1950 or 1951,Not specified,Visiting aunt and considering immigration,55698.txt,50.8465573,4.351697,30.8124247,34.8594762
Israel,"Brussels, Belgium",1950 or 1951,Not specified,Returning to Belgium after deciding not to settle in Israel,55698.txt,30.8124247,34.8594762,50.8465573,4.351697
"Brussels, Belgium","New York, USA","December 26, 1951",Ship (Vulcania),Immigrating to the United States,55698.txt,50.8465573,4.351697,40.7127281,-74.0060152
"Debrecen, Hungary","Debrecen Ghetto, Hungary",Early 1944,Walking,Forced relocation by Hungarian authorities,55736.txt,,,,
"Debrecen Ghetto, Hungary","Auschwitz-Birkenau, Poland",Spring 1944,Train (cattle car),Deportation by Nazis,55736.txt,,,50.0346203,19.1807846
"Auschwitz-Birkenau, Poland","Dachau concentration camp, Germany",Late 1944,Death march and train,Transfer by Nazis as Soviet forces approached,55736.txt,50.0346203,19.1807846,47.6978718,10.3244047
"Dachau concentration camp, Germany","Feldafing DP Camp, Germany",1945,Organized transport by American liberators,Liberation and recovery after the war,55736.txt,47.6978718,10.3244047,,
"Feldafing DP Camp, Germany","Berlin, Germany",1946,"Various (hitchhiking, trains)",Attempting to find a way back to Hungary,55736.txt,,,52.510885,13.3989367
"Berlin, Germany","Debrecen, Hungary",1946,Russian military truck,Returning home to find his father,55736.txt,52.510885,13.3989367,,
"Debrecen, Hungary",Italy,1950,Not specified,Traveling to Palestine (Israel),55736.txt,,,42.6384261,12.674297
Italy,"Jaffa, Israel",1950,Ship (Abbazia),Immigration to Palestine (Israel),55736.txt,42.6384261,12.674297,32.0443395,34.7509908
